Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;DK1 Natural Gas Power Production MWh/h H Actual
2025-07-23 00:00;+02:00;49
2025-07-23 01:00;+02:00;49.5
2025-07-23 02:00;+02:00;49
2025-07-23 03:00;+02:00;48.25
2025-07-23 04:00;+02:00;48.25
2025-07-23 05:00;+02:00;51
2025-07-23 06:00;+02:00;57
2025-07-23 07:00;+02:00;57.25
2025-07-23 08:00;+02:00;57
2025-07-23 09:00;+02:00;59.75
2025-07-23 10:00;+02:00;64.75
2025-07-23 11:00;+02:00;65.25
2025-07-23 12:00;+02:00;71
2025-07-23 13:00;+02:00;77.25
2025-07-23 14:00;+02:00;78
2025-07-23 15:00;+02:00;84.75
2025-07-23 16:00;+02:00;78
2025-07-23 17:00;+02:00;85.75
2025-07-23 18:00;+02:00;113.25
2025-07-23 19:00;+02:00;113.5
2025-07-23 20:00;+02:00;135.75
2025-07-23 21:00;+02:00;120
2025-07-23 22:00;+02:00;112.75
2025-07-23 23:00;+02:00;64.75
2025-07-24 00:00;+02:00;52
2025-07-24 01:00;+02:00;52
2025-07-24 02:00;+02:00;90.25
2025-07-24 03:00;+02:00;80.25
2025-07-24 04:00;+02:00;117.5
2025-07-24 05:00;+02:00;58.5
2025-07-24 06:00;+02:00;55.5
2025-07-24 07:00;+02:00;70.75
2025-07-24 08:00;+02:00;70
2025-07-24 09:00;+02:00;91.75
2025-07-24 10:00;+02:00;79
2025-07-24 11:00;+02:00;101.25
2025-07-24 12:00;+02:00;124.75
2025-07-24 13:00;+02:00;101.75
2025-07-24 14:00;+02:00;84.25
2025-07-24 15:00;+02:00;68.5
2025-07-24 16:00;+02:00;66.25
2025-07-24 17:00;+02:00;172.75
2025-07-24 18:00;+02:00;141
2025-07-24 19:00;+02:00;168.75
2025-07-24 20:00;+02:00;173.25
2025-07-24 21:00;+02:00;160.5
2025-07-24 22:00;+02:00;155.75
2025-07-24 23:00;+02:00;132.5
2025-07-25 00:00;+02:00;70.25
2025-07-25 01:00;+02:00;71.5
2025-07-25 02:00;+02:00;55.75
2025-07-25 03:00;+02:00;51
2025-07-25 04:00;+02:00;52
2025-07-25 05:00;+02:00;65.25
2025-07-25 06:00;+02:00;52
2025-07-25 07:00;+02:00;55.5
2025-07-25 08:00;+02:00;74
2025-07-25 09:00;+02:00;110.25
2025-07-25 10:00;+02:00;105
2025-07-25 11:00;+02:00;79
2025-07-25 12:00;+02:00;79
2025-07-25 13:00;+02:00;82.25
2025-07-25 14:00;+02:00;87.25
2025-07-25 15:00;+02:00;98.5
2025-07-25 16:00;+02:00;83.5
2025-07-25 17:00;+02:00;72.25
2025-07-25 18:00;+02:00;61.25
2025-07-25 19:00;+02:00;97.25
2025-07-25 20:00;+02:00;136.25
2025-07-25 21:00;+02:00;128.25
2025-07-25 22:00;+02:00;141
2025-07-25 23:00;+02:00;99.25
2025-07-26 00:00;+02:00;87
2025-07-26 01:00;+02:00;52
2025-07-26 02:00;+02:00;65.25
2025-07-26 03:00;+02:00;99.5
2025-07-26 04:00;+02:00;51
2025-07-26 05:00;+02:00;54.25
2025-07-26 06:00;+02:00;53
2025-07-26 07:00;+02:00;59.75
2025-07-26 08:00;+02:00;68
2025-07-26 09:00;+02:00;82.75
2025-07-26 10:00;+02:00;67.5
2025-07-26 11:00;+02:00;80.5
2025-07-26 12:00;+02:00;107.5
2025-07-26 13:00;+02:00;100
2025-07-26 14:00;+02:00;88.75
2025-07-26 15:00;+02:00;86
2025-07-26 16:00;+02:00;90
2025-07-26 17:00;+02:00;89.5
2025-07-26 18:00;+02:00;68.5
2025-07-26 19:00;+02:00;79
2025-07-26 20:00;+02:00;112.5
2025-07-26 21:00;+02:00;125.25
2025-07-26 22:00;+02:00;106
2025-07-26 23:00;+02:00;94
2025-07-27 00:00;+02:00;66.75
2025-07-27 01:00;+02:00;53
2025-07-27 02:00;+02:00;71.75
2025-07-27 03:00;+02:00;61.25
2025-07-27 04:00;+02:00;66
2025-07-27 05:00;+02:00;60.25
2025-07-27 06:00;+02:00;54.75
2025-07-27 07:00;+02:00;63
2025-07-27 08:00;+02:00;84.25
2025-07-27 09:00;+02:00;81
2025-07-27 10:00;+02:00;85.5
2025-07-27 11:00;+02:00;87
